transaction_id,account_id,timestamp,amount,type,is_fraud
TX196775,ACC55430,2024-11-30 01:00:01,128.9,debit,0
TX444561,ACC55430,2025-01-13 11:10:14,168.53,debit,0
TX879364,ACC55430,2024-12-03 09:56:15,156.55,debit,0
TX855948,ACC55430,2025-02-19 04:40:32,141.78,credit,0
TX962199,ACC55430,2025-04-15 01:43:19,104.7,credit,0
TX417990,ACC55430,2025-04-28 08:52:06,66.72,debit,0
TX544965,ACC55430,2025-03-12 16:04:20,192.53,debit,0
TX856179,ACC55430,2025-04-10 14:23:28,156.0,credit,0
TX922202,ACC55430,2025-03-08 20:05:32,176.09,debit,0
TX454867,ACC55430,2024-09-16 08:56:44,117.99,credit,0
TX346772,ACC55430,2025-04-07 20:21:56,99999.0,credit,0
TX739102,ACC55430,2024-08-23 01:15:45,226.31,debit,0
TX212850,ACC55430,2025-04-03 08:48:56,349.74,debit,0
TX315494,ACC55430,2024-07-19 22:05:52,127.83,credit,0
TX168353,ACC55430,2024-07-15 13:02:57,161.42,debit,0
TX634205,ACC55430,2024-12-19 04:31:49,143.8,credit,0
TX272028,ACC55430,2025-01-15 04:09:50,87.82,credit,0
TX391612,ACC55430,2024-07-12 18:36:30,116.37,credit,0
TX132826,ACC81200,2024-07-26 23:05:01,300.75,debit,0
TX989298,ACC81200,2025-03-20 14:44:28,96.69,credit,0
TX609994,ACC81200,2025-03-30 00:33:51,155.53,credit,0
TX815261,ACC81200,2024-10-03 21:22:31,101.46,debit,0
TX448717,ACC81200,2025-02-11 19:44:59,145.58,debit,0
TX427706,ACC81200,2024-08-16 11:49:00,96.82,credit,0
TX722954,ACC81200,2024-10-05 17:12:02,111.72,credit,0
TX515726,ACC81200,2024-06-23 12:38:12,41.54,credit,0
TX890373,ACC81200,2024-12-05 00:55:27,157.12,credit,0
TX857824,ACC81200,2024-11-18 18:03:37,122.96,credit,0
TX349386,ACC81200,2025-01-29 23:07:21,188.36,debit,1
TX174385,ACC81200,2025-01-11 12:19:18,145.42,credit,0
TX423077,ACC81200,2025-05-25 07:36:45,94.81,debit,0
TX796354,ACC81200,2024-10-31 03:23:31,76.99,debit,0
TX308048,ACC81200,2024-06-19 13:24:02,149.6,debit,0
TX275306,ACC81200,2025-06-10 02:55:28,248.21,debit,0
TX334427,ACC81200,2025-05-06 08:02:15,107.39,debit,0
TX679119,ACC81200,2025-01-28 05:38:25,12.69,debit,0
TX824197,ACC81200,2024-09-11 19:06:44,165.05,credit,0
TX866086,ACC81200,2024-06-30 11:33:43,239.11,debit,0
TX152002,ACC81200,2024-08-13 13:23:01,190.26,debit,0
TX602881,ACC81200,2025-04-21 11:58:55,58.57,credit,0
TX797151,ACC81200,2025-02-07 17:52:01,158.83,debit,0
TX551155,ACC81200,2024-10-05 00:06:15,212.54,credit,0
TX440649,ACC81200,2025-04-15 10:57:27,117.92,debit,0
TX928767,ACC81200,2025-01-04 11:43:43,109.01,debit,0
TX305436,ACC81200,2024-11-25 22:19:45,111.32,credit,0
TX663450,ACC81200,2025-06-03 06:25:52,135.04,credit,0
TX323043,ACC81200,2024-10-19 09:43:26,62.76,debit,0
TX565748,ACC81200,2024-11-29 22:05:12,164.36,debit,0
TX795311,ACC81200,2024-07-25 14:23:31,168.09,credit,0
TX389079,ACC81200,2024-08-08 02:43:14,169.88,debit,0
TX841359,ACC81200,2024-11-24 17:29:20,,debit,0
TX967474,ACC81200,2025-01-27 15:50:57,60.82,credit,0
TX263707,ACC81200,2025-02-01 03:02:11,130.86,debit,0
TX195401,ACC58255,2024-10-08 11:52:51,284.47,credit,0
TX641069,ACC58255,2024-07-27 11:21:40,166.8,debit,0
TX923910,ACC58255,2024-11-14 16:45:43,89.6,debit,0
TX174308,ACC58255,2024-10-20 21:20:27,194.73,debit,0
TX578513,ACC58255,2024-08-27 18:34:55,285.59,credit,0
TX340245,ACC58255,2025-01-18 23:20:22,176.31,debit,0
TX275651,ACC58255,2025-01-01 02:36:25,137.6,debit,0
TX245190,ACC58255,2025-01-19 21:21:14,247.95,credit,0
TX532484,ACC58255,2024-12-10 23:52:22,112.62,debit,0
TX483108,ACC58255,2024-11-03 02:21:16,224.45,credit,0
TX171168,ACC58255,2025-03-03 17:00:21,107.6,credit,0
TX868182,ACC58255,2024-10-06 14:39:01,119.2,debit,0
TX164764,ACC58255,2024-12-14 00:35:01,207.27,debit,0
TX868308,ACC58255,2025-02-05 13:11:38,244.28,credit,0
TX915318,ACC58255,2024-08-11 12:39:38,142.27,debit,1
TX256861,ACC58255,2024-09-16 07:37:50,241.88,debit,0
TX844725,ACC58255,2025-02-28 22:48:39,177.93,debit,0
TX725367,ACC58255,2024-06-16 03:10:15,90.75,debit,0
TX118096,ACC99702,2024-07-12 12:30:36,119.84,debit,0
TX801890,ACC99702,2025-02-25 14:03:38,189.32,debit,0
TX913933,ACC99702,2024-08-26 08:39:30,253.19,debit,0
TX606344,ACC99702,2024-10-15 10:00:28,225.94,debit,0
TX174323,ACC99702,2024-10-03 04:31:22,227.15,debit,0
TX241878,ACC99702,2024-07-24 20:03:21,51.24,credit,0
TX901436,ACC99702,2024-12-09 03:25:14,204.27,credit,0
TX655122,ACC99702,2024-11-23 15:17:37,200.06,credit,0
TX692162,ACC99702,2025-01-02 06:04:50,170.45,credit,0
TX727149,ACC99702,2024-07-29 18:48:35,198.78,debit,0
TX936440,ACC99702,2024-10-02 06:58:22,22.13,debit,0
TX984102,ACC99702,2025-06-04 04:59:35,-20.77,debit,0
TX357477,ACC99702,2024-10-27 15:06:31,168.97,credit,0
TX404237,ACC99702,2025-05-08 15:58:23,145.24,credit,0
TX163110,ACC99702,2025-03-14 07:04:44,133.36,credit,0
TX699035,ACC99702,2024-10-26 20:52:42,181.63,debit,0
TX537437,ACC99702,2024-07-05 16:41:46,164.7,debit,0
TX177715,ACC68141,2024-06-30 23:24:13,173.77,debit,0
TX860447,ACC68141,2025-02-10 14:04:29,216.65,credit,0
TX954213,ACC68141,2025-01-29 06:42:44,110.49,debit,0
TX514001,ACC68141,2025-05-09 21:30:13,175.46,credit,0
